Label Number;Company Name;Company Address;Product Description;Net weight;Batch Number;Country of origin;SN - Serial Number;Expiration Date;GTIN-14
176;Empresa do José;Av Nádia Pinho, 38, 7218-527 Valbom;Farinha;448.43 kg;59594;Espanha;C8OUBYL41DYO;08/07/2029;95913939829602
177;Química Duarte;Avenida Sebastião Neto, 75, 5074-797 Lourosa;Vinho;4959 g;42055;Portugal;0YYGMAY8OBI0;29/09/2031;55753685067198
178;Empresa Alfa;Alameda de Campos, 38, 6001-070 Barcelos;Vinho;11355 g;24480;Brasil;PPPMGJP74T2I;NODATE;02198338350292
179;Padaria Central;Largo da Pasteleira, 9, 6344-117 Vila Nova de Foz Côa;Computador;8174 mL;30216;Portugal;GPLLDIJPQZA8;19/01/2034;54070410571435
180;Têxtil Lusa;Rua Adriana Reis, 4, 9646-458 Marinha Grande;Pão;134 un;19629;Portugal;2HBJ7QVDPHGO;21/08/2027;89970196923373
181;Padaria Central;Av do Preto, 8, 4746-115 Lagoa;Vinho;13337 g;39196;Alemanha;CQ4DMFQ8LI58;10/09/2033;88049237119015
182;Empresa do José;Travessa Castro, 4, 6146-041 Rebordosa;Pão;14699 mL;90139;Portugal;XJQPC3HAME37;24/09/2032;46837542809801
183;Empresa do João;Avenida Anjos, 28, 9104-871 Lixa;Camisola;12574 g;16490;Itália;B80QG2CKK6GO;07/06/2031;22111998600493
184;Empresa do João;Avenida Gonçalves, 86, 6579-289 Alcácer do Sal;Pão;549 un;72265;Itália;D7HXHQC0Q2SQ;26/10/2033;63711153580044
185;Empresa do José;Rua de Tavares, 1, 9152-957 Loulé; Azeite;177.22 L;12567;Alemanha;068IO4RLEBYM;06/05/2032;92617416297972
186;Empresa do João;Largo Roentgen, 36, 1002-528 Santo Tirso;Cadeira;102.99 kg;87517;Espanha;6CGTYK5W3AHR;19/06/2026;33569613642042
187;Global Tech;Travessa Andrade, 92, 1715-746 Abrantes; Azeite;271 un;66183;Brasil;AS9LTUSTOPJV;24/09/2034;93597418944207
188;Têxtil Lusa;Rua da Boavista, 638, 7010-711 Anadia;Cadeira;284.62 kg;36874;Espanha;9T3B0RZV133P;03/11/2029;29494455988463
189;Têxtil Lusa;Travessa das Andorinhas, 655, 3391-211 Lagoa;Vinho;143.0 L;21054;Alemanha;SIZWES1VLGTN;17/07/2033;60955111918869
190;Empresa do José;Alameda Eduarda Paiva, S/N, 2280-840 Porto Santo;Impressora;451.55 kg;26354;Alemanha;UJAVNPT1AMWY;28/02/2026;91645254024803
191;Empresa do João;Alameda de Abreu, 63, 6004-501 Amora;Cadeira;827 un;33441;Brasil;8JC226N2X3Z0;19/09/2026;06262750576533
192;Empresa do João;Largo do Forno Velho, 979, 2096-194 Lamego;Farinha;68.52 kg;23852;Brasil;BN7224NJVSVZ;17/07/2028;57229641818002
193;Móveis Raiz;Av de Monteiro, 14, 3729-547 Paredes;Sabonete;411 un;21890;Brasil;NLM7B4S8N6ZQ;16/06/2029;67639375606642
194;Têxtil Lusa;Rua da Alfândega, 97, 5849-669 Vila Real de Santo António;Computador;11958 g;85862;Brasil;J05F53SIJ003;14/04/2032;16013366392237
195;Têxtil Lusa;Rua Rodrigues, 53, 1104-969 Portimão;Sabonete;73.55 L;95768;Itália;0WX455U81MBU;04/06/2030;02418208017246
196;Móveis Raiz;Rua das Congostas, 45, 5737-070 Mirandela;Camisola;158.36 L;91698;Espanha;TWOXR0ASAI8U;05/04/2030;16278728956243
197;Empresa do José;Avenida Soares, 9, 6614-313 Agualva-Cacém;Cadeira;10481 g;34699;Alemanha;YX2RXKX6B51K;21/06/2028;35107688177204
198;Padaria Central;Avenida da Ilha do Ferro, S/N, 1876-070 Vila Nova de Gaia;Computador;2754 g;19659;Itália;P92TLEAILKMS;NODATE;71544122968898
199;Empresa do João;Avenida Lima, S/N, 6461-082 Ourém;Cadeira;11575 g;67016;Brasil;7KNVM2UMUN4U;01/04/2027;95891857219183
200;Móveis Raiz;Travessa de Castro, 358, 2795-773 Viseu;Computador;120.48 L;57839;Portugal;BJI8IYGDH3IX;16/07/2028;18102914284510
201;Empresa do José;Praça de Cardoso, S/N, 7030-308 São Salvador de Lordelo;Impressora;70.14 kg;58989;Espanha;JYTUO4FJV9RX;NODATE;18592212371366
202;Têxtil Lusa;Praça de Guerreiro, 35, 5377-444 Gondomar;Impressora;15644 mL;29206;Portugal;NAINUK0EKWRI;08/10/2026;08583379320427
203;Têxtil Lusa;Praça Matilde Vicente, 32, 0065-962 Rebordosa;Vinho;191.62 L;82028;França;1U93XAK89RCY;09/08/2029;41226734709344
204;Empresa do José;R. de Sá, 945, 1059-059 Angra do Heroísmo; Azeite;457.32 kg;38571;Itália;76MFUWFEZ0MD;NODATE;49120898862496
205;Global Tech;Av de Assunção, 91, 9351-592 Caldas da Rainha;Cadeira;655 un;53848;Itália;XVTRGETD8G2S;18/04/2035;25895113957479
206;Global Tech;Largo Gonçalves, 26, 6882-702 Funchal;Cadeira;6293 g;75759;França;WCJT2DRY2O7G;24/11/2029;59440394483331
207;Móveis Raiz;Travessa Rocha, S/N, 2524-049 Costa da Caparica;Vinho;973 mL;65514;Portugal;GOPQQNP9R6WP;02/09/2033;36208237998802
208;Têxtil Lusa;Praça Torres, 56, 2507-144 Vila Nova de Santo André;Farinha;2071 g;20577;Espanha;WTM91TK3D1N0;18/03/2033;21196335211282
209;Têxtil Lusa;Av de Neto, 6, 7052-057 Rio Tinto;Cadeira;184.0 kg;81200;Itália;R0PV3HY8CGRQ;NODATE;12923174574014
210;Química Duarte;R. de Oliveira, 53, 9535-462 Entroncamento;Farinha;268.24 L;48909;Espanha;DW1PM6WW5UXF;09/01/2027;51511126783477
211;Móveis Raiz;Largo Soares, 85, 9222-733 Lourosa;Farinha;339.32 L;96456;Brasil;9URQVGG9VAN0;11/05/2026;30955709612906
212;Móveis Raiz;Praça de Pinheiro, 51, 0418-082 Viseu;Farinha;6991 g;99350;Itália;VCCOSBUOQDRB;04/06/2032;59089512734759
213;Empresa do João;Praça Feia, 4, 6565-476 Lagos;Cadeira;1426 mL;16566;França;EP2K5QNMA2IJ;20/12/2027;71770294329644
214;Empresa do João;Rua de Fernandes, 808, 3386-242 Trofa;Sabonete;392.6 L;48353;China;KB82C3FN1B71;08/12/2028;74578719427821
215;Padaria Central;Travessa de Soares, 93, 7870-412 Seia;Impressora;612 un;45150;Espanha;BUPB4QWTBI93;23/11/2033;26463268319505
216;Global Tech;Alameda Visconde de Alvalade, 32, 7274-838 Sacavém;Sabonete;420.08 kg;75430;China;RQTIWOZ8NSFX;07/09/2026;28786724596327
217;Global Tech;R. do Bessa, 17, 0794-160 Santa Maria da Feira;Computador;73.54 L;85652;Portugal;LMEO2A56QZ7N;13/11/2034;68415627136884
218;Empresa Alfa;Rua Domingues, 97, 5232-490 Oliveira do Bairro;Vinho;19933 g;59529;Alemanha;FOY5B0T7S70J;10/06/2033;77492579453383
219;Empresa do João;Travessa de Torres, 9, 1657-511 Vila Nova de Santo André;Pão;19300 g;87463;França;PUVGGHIJ99BJ;08/08/2028;34280688409564
220;Padaria Central;Av do Alto do Varejão, 290, 8485-048 Viana do Castelo;Pão;431.45 kg;88290;França;4KAGGVW8BGR7;21/01/2028;42269091341221
221;Padaria Central;R. da Galega, 3, 1482-205 Ermesinde;Vinho;921 un;38380;Brasil;CSATQ99X78DN;26/05/2028;25262338352028
222;Química Duarte;Praça Miriam Barbosa, 78, 6771-772 Mealhada;Cadeira;161.45 L;30591;Espanha;6TZL260ZKMDP;23/05/2034;68455493855821
223;Empresa do José;Alameda de S. Marçal, 57, 7021-950 Mangualde; Azeite;19576 g;42780;Portugal;42NX9Z1EKJ10;NODATE;34925542770652
224;Empresa do João;Largo de Carneiro, 53, 1710-446 Bragança;Sabonete;43.95 kg;50808;Espanha;PGGA37JPNJRS;22/12/2033;82599134593976
225;Empresa do João;Praça Sérgio Nascimento, 45, 1601-643 Santiago do Cacém;Vinho;6340 g;33374;China;9A686TYROHTK;13/08/2031;38715357787605
226;Empresa Alfa;Alameda dos Cruzados, 37, 8534-488 Sines;Pão;4110 g;88857;Espanha;MKWQT8AGTLYA;22/01/2028;96958127528304
227;Padaria Central;Av Soraia Pinho, 55, 3340-646 Trancoso;Madeira;2844 mL;83864;Itália;AQIS052HA2CM;30/12/2026;60950323865568
228;Padaria Central;Alameda Hugo Pinto, 80, 8389-293 Barreiro;Vinho;15711 g;10778;Brasil;FP6UVB0UKN2Y;NODATE;83249966836807
229;Global Tech;Rua do Sequeiro, 25, 7147-737 Fundão;Farinha;279.98 kg;94966;Espanha;RBCRKLW2ST8V;01/01/2026;90506890825282
230;Empresa do João;Alameda Leandro Teixeira, 80, 9507-589 Guarda;Computador;6153 g;74338;Itália;AFWRL0MQE3HK;09/10/2029;80933753388576
231;Têxtil Lusa;Travessa Torres, 722, 7790-645 Esmoriz;Pão;425.41 kg;43078;Espanha;VXM5P9GGQIYA;23/04/2028;53961652404757
232;Empresa do José;Largo Guerreiro, 24, 7777-067 Ílhavo;Vinho;637 un;82121;Alemanha;HDN6RTOZNTIE;03/06/2028;34214670287900
233;Têxtil Lusa;R. José Leal, 81, 1928-580 Silves;Vinho;519 un;89241;China;JHR6KQCNZBGD;06/10/2027;98057916093483
234;Empresa do José;Largo das Andorinhas, 87, 3092-226 Paços de Ferreira;Cadeira;446.46 kg;94529;China;0QAFVLR5476K;29/10/2031;99876960271130
235;Têxtil Lusa;Av de Luís António Verney, S/N, 2252-819 Rio Tinto;Sabonete;18020 mL;59282;Espanha;K0WE0FR0RQ4E;16/08/2034;49614954171018
236;Padaria Central;Av Lopes, S/N, 5532-312 Ponte de Sor;Vinho;11085 mL;74735;Portugal;1TZCKX0FLSQ6;27/10/2026;16140039050167
237;Móveis Raiz;Praça de Melo, 29, 3176-986 Vila do Conde;Farinha;443.12 kg;82737;Espanha;ZXOYHJ1R66VV;16/08/2030;58401358978215
238;Empresa do João;Rua Adriana Pereira, S/N, 1641-534 Mêda;Camisola;457.82 L;82440;Brasil;ELJ0SFM3I38B;20/10/2032;92217089706956
239;Empresa do João;Alameda Nogueira, S/N, 5766-237 Amora;Cadeira;2323 mL;29142;China;DPXL42DV2Q4R;NODATE;00779175094641
240;Global Tech;Largo Vaz, 246, 8012-896 Mealhada;Vinho;17008 mL;79318;Alemanha;EFCBVS5ZQB8G;10/08/2025;55051595209213
241;Química Duarte;Largo da Bela Vista, 127, 7149-731 Freamunde;Impressora;272.39 L;95411;Alemanha;PLSCJK7NLGZB;27/12/2029;00696932591602
242;Química Duarte;Praça Fábio Mendes, 623, 4018-512 Anadia;Vinho;3310 g;36662;França;111OQQTQXKMD;26/03/2027;50805882241522
243;Têxtil Lusa;Avenida Fernandes, 58, 0703-200 Santa Maria da Feira;Vinho;13373 g;93701;Alemanha;NXOG79Z8DWET;04/04/2035;41735297223654
244;Global Tech;Rua do Carregal, 54, 6624-030 Lagos; Azeite;3109 g;37709;Portugal;FNL4J11G94NA;25/09/2033;68366468906646
245;Empresa do José;R. de Reis, 630, 0248-980 Miranda do Douro;Computador;427 un;30789;França;S62WPCTZSBPW;01/02/2027;67193705104890
246;Móveis Raiz;Praça André Assunção, 6, 0419-473 Pombal; Azeite;449.14 kg;51577;Espanha;R334X5878EQO;28/06/2030;75053904712351
247;Empresa Alfa;Alameda de Gomes, 55, 0507-282 Santana;Pão;9190 mL;29422;França;CY8KPEXMM73L;27/10/2033;07017077783705
248;Móveis Raiz;Avenida de Antunes, S/N, 8013-322 Santo Tirso;Madeira;19385 mL;88870;França;USOKIYCZVJ11;11/04/2031;05469073461995
249;Padaria Central;Praça Neto, 23, 1840-555 Seixal;Madeira;56.37 kg;47775;Alemanha;90ZR7A3DUUO0;12/10/2025;41020047139515
250;Empresa Alfa;Alameda Bryan Reis, 855, 8474-199 Olhão;Impressora;76.09 kg;31254;Alemanha;8QT8NHEV8FXJ;03/01/2026;73603244051111
251;Padaria Central;Largo Ângela Lopes, 3, 2901-544 Braga;Camisola;15898 g;79033;Brasil;JG6BPHFUSUVH;05/05/2028;07326779750604
252;Empresa do José;Alameda João Magalhães, 78, 7463-636 Paços de Ferreira;Madeira;150 un;64403;Alemanha;KTZ44YDXZTXS;13/07/2026;64311763321419
253;Padaria Central;R. Professor José Conde, S/N, 3284-674 Viseu;Vinho;420.94 L;85899;Espanha;NHTL0TO5FG25;08/06/2035;46508573608018
254;Móveis Raiz;Praça Garcia, 29, 0652-001 Braga;Camisola;79 un;96839;Alemanha;V2QNS4Q522LG;29/12/2033;03317342927718
255;Padaria Central;Travessa Ismael Nunes, 389, 4363-429 Paredes;Cadeira;220.09 kg;54761;França;BI4QLF49AZKO;03/08/2033;48702191581667
256;Móveis Raiz;Alameda da Igreja, 47, 0302-817 Almada;Farinha;2983 mL;78327;Alemanha;OK0DOX7JD2GS;NODATE;91369144756834
257;Global Tech;Travessa Silva, 43, 7699-421 Funchal;Vinho;51.43 kg;81391;Espanha;BA3KYWLEU5DX;13/10/2029;37297809014504
258;Química Duarte;Largo de Torres, 2, 6547-945 Vila Nova de Santo André;Impressora;36.77 kg;17540;França;NONF4Z26CJTK;05/11/2034;96905040172956
259;Empresa do João;Avenida Mariana Simões, 7, 8803-789 Santa Maria da Feira;Cadeira;629 un;48128;Alemanha;E1FMVCWYDGCG;20/03/2031;93258003919874
260;Empresa do José;R. Coelho, 359, 3824-810 Paços de Ferreira;Sabonete;1086 g;10984;Itália;TO7ODQI4VM58;16/09/2031;41025781152042
261;Química Duarte;Largo de Branco, 72, 7200-211 Valpaços;Pão;13585 g;64523;Itália;B08TJF3MAQSP;31/01/2035;60997223424151
262;Empresa do José;Travessa de Marques, 464, 8112-949 São Salvador de Lordelo;Madeira;11108 g;28971;China;K8F3S3O2UUM9;05/06/2026;86887850930256
263;Têxtil Lusa;Avenida Henriques, S/N, 7363-816 Santo Tirso;Vinho;173 un;58166;Portugal;N36PSICWV4P9;15/01/2031;74148629077439
264;Global Tech;Travessa Joel Amaral, 66, 8252-876 Ermesinde;Pão;206.01 L;57154;Brasil;VU6UUKQ2XMBQ;03/08/2033;71966150608170
265;Empresa do José;Av Maria José Moura, 4, 4327-250 Peniche;Impressora;447.39 L;37519;China;4A8E2F2YI518;28/04/2033;36008576794042
266;Têxtil Lusa;Rua Branco, 5, 7640-008 Santiago do Cacém;Vinho;232.76 kg;36297;França;V32B12DLNC76;NODATE;51652078389442
267;Empresa do José;Av Nuno Machado, S/N, 6031-947 Loures;Vinho;9226 g;62738;Itália;1QXIPNMTU4FF;18/11/2030;72664797883354
268;Química Duarte;Praça de Martins, S/N, 1259-431 Ílhavo;Pão;318 un;26960;Portugal;QYI6J2VZ1LBS;10/03/2027;30558576378394
269;Global Tech;Avenida de Cunha, 449, 7710-221 Mangualde;Cadeira;136 un;59012;França;YB04SD7W0XSV;03/03/2031;01773700674672
270;Padaria Central;R. de Lourenço, 996, 7742-343 Tarouca;Computador;358.71 L;68850;Espanha;DQP0PUO8BWB8;02/10/2033;96735249085847
271;Empresa do João;Avenida de Branco, 3, 1682-327 Figueira da Foz;Impressora;3453 mL;87272;França;QL357FXOB2MI;12/05/2031;65408944336349
272;Química Duarte;Praça Caetana Borges, 99, 0634-558 Freamunde;Madeira;5528 g;81406;Itália;MLFI4Q5YO5D5;07/08/2034;98201281560478
273;Global Tech;Largo de Machado, 3, 6074-028 Cantanhede;Vinho;236.47 L;51627;Portugal;NAKDHLNJWFCE;24/11/2030;31931738374729
274;Global Tech;Rua Marques, 18, 4866-459 Queluz;Sabonete;13380 g;81650;Alemanha;78D1MJ2TRMN7;28/11/2028;13705353801712
275;Empresa do João;Travessa Miranda, S/N, 4231-464 Vale de Cambra;Pão;206.76 L;57663;Portugal;VEE3JXYK39DQ;NODATE;95812316844540
276;Padaria Central;Rua Moura, 5, 9160-814 Trofa;Camisola;561 g;25328;Brasil;II4M5H15DR5A;NODATE;60429691049485
277;Padaria Central;Av Bianca Amaral, 54, 6346-888 Figueira da Foz;Sabonete;10896 mL;18405;França;9IV5CCYUYRG7;18/07/2033;16418323563634
278;Empresa do João;Rua Eduardo Prado Coelho, S/N, 4136-597 Tarouca;Vinho;22.08 kg;97099;China;ORZBACA53I7R;NODATE;67467167856100
279;Têxtil Lusa;Avenida Kyara Pereira, 93, 3879-196 Seixal;Pão;138.8 kg;60442;Portugal;LH4BEXWTZI0E;19/02/2026;27055908872663
280;Empresa do João;R. Lopes, S/N, 6243-491 Matosinhos;Impressora;32.22 L;62514;China;X38U9TCGI84X;29/09/2029;52693709285074
281;Química Duarte;Rua Luciana Guerreiro, 70, 2222-570 Oliveira do Hospital;Sabonete;84.29 L;73860;Itália;KPREM7N2EYFU;03/10/2028;58513700526924
282;Têxtil Lusa;Travessa de Matias, 10, 0447-860 Vale de Cambra;Madeira;810 mL;20258;Brasil;3XPO0W1EY7QL;03/01/2026;32743783066604
283;Padaria Central;Alameda Denis Magalhães, 983, 7629-062 Lamego;Impressora;1683 mL;65006;Itália;00EL42YBTF8M;20/10/2028;84708326479793
284;Empresa do José;Av de Baptista, 4, 6225-017 Braga;Sabonete;162.29 kg;59725;Itália;O291E8YW9OC5;07/01/2029;20298642897118
285;Padaria Central;Rua Salomé Gaspar, 7, 0050-105 Queluz;Madeira;146.21 L;74406;Brasil;2LRSWEG13FFO;16/02/2031;72169690842941
286;Empresa Alfa;Travessa de Gomes, 97, 3719-771 Ponte de Sor;Computador;292.23 L;62184;Itália;6BQ8O5R2J0P9;01/06/2033;12826014724713
287;Móveis Raiz;Alameda Pacheco, 900, 3085-583 Santarém;Pão;9320 g;18777;Brasil;AT7FZJIOHW47;15/05/2035;40479417247261
288;Móveis Raiz;Praça de Araújo, 78, 6561-960 Gafanha da Nazaré;Sabonete;19118 g;20933;Portugal;GG2FBTGQPM6I;24/02/2031;83375662632603
289;Global Tech;Alameda de Reis, 93, 5147-016 Santiago do Cacém;Pão;199 un;46945;Itália;5CC9KNCN7QTX;12/05/2032;49412241855751
290;Móveis Raiz;Alameda de Faria, 3, 7775-565 Covilhã;Madeira;154.87 kg;37841;China;2ELF7OPRUU7M;18/09/2029;26389903509774
291;Têxtil Lusa;Avenida de Brito, 1, 7880-177 Freamunde;Madeira;10650 mL;65532;China;OB25VSZT2ULO;27/11/2028;01392884296797
292;Empresa do João;Av Castro, S/N, 8730-952 Horta; Azeite;149.16 kg;21962;França;FF58ND6NQQ1A;03/10/2027;93621321943294
293;Empresa do José;Travessa Ribeiro, 58, 7300-468 Vila Real de Santo António;Pão;1226 mL;89264;Alemanha;OI3BFEQ5DRK6;23/07/2030;78471481571713
294;Empresa do José;R. de Sidónio Pais, 68, 3828-589 Almeirim;Vinho;48.08 L;26711;Brasil;4KDD6KX0T4EV;19/11/2027;62156411050395
295;Química Duarte;Rua Érica Torres, 35, 5927-150 Covilhã;Farinha;9320 mL;75980;Portugal;GPXQ0KGBNMNS;09/08/2025;38083325505613
296;Padaria Central;Av do Maestro Afonso Valentim, 55, 3987-633 Ílhavo;Madeira;142.33 L;54093;Itália;XTC5X5O5B36G;12/05/2035;99985351307521
297;Empresa do José;Praça Andreia Maia, S/N, 7406-467 Angra do Heroísmo;Computador;16185 g;76995;Portugal;THRGZBAWH2X8;31/08/2029;00981069163554
298;Padaria Central;Avenida Leandro Araújo, S/N, 9317-198 Lixa; Azeite;464.33 kg;45760;França;6QQCXROADZCK;04/04/2027;33891726334986
299;Global Tech;Travessa de Oliveira, 42, 6113-652 Olhão;Farinha;193.61 kg;77325;Alemanha;QHY0ZC6W496Q;NODATE;14130221043715
300;Empresa do José;Avenida Lia Barbosa, 91, 1253-730 Odivelas;Computador;411.36 kg;46194;Brasil;G5UG6ZDGEKVL;NODATE;03417815088818
301;Empresa Alfa;Rua do Barcal, 361, 0920-925 São João da Madeira;Vinho;243 un;12219;Espanha;5R3CQXXYM0O1;01/01/2031;61914595041119
302;Empresa do João;Largo de Valente, 71, 2164-151 Marco de Canaveses;Cadeira;9032 mL;42375;Itália;T3260HJJ9AKW;10/10/2026;12300891592493
303;Empresa do José;Largo Paris (Nascente), 2, 2489-419 Esmoriz;Farinha;96 un;97887;China;M2BR76AZEV47;31/12/2026;22138108393999
304;Empresa Alfa;Praça Ferreira, 10, 6153-186 Câmara de Lobos;Madeira;575 un;28356;Portugal;BKC3IEIQ1NMF;15/08/2026;88092792971114
305;Empresa do João;Alameda Reis, 25, 4627-509 Vizela;Madeira;11620 g;62461;China;WQYBJKX81T2N;17/11/2034;47230475950651
306;Global Tech;Largo Mauro Pinheiro, 41, 7139-449 Montijo; Azeite;128.89 L;37083;Alemanha;GCUWVEX9K8HQ;11/03/2032;78773977191944
307;Empresa Alfa;Travessa de Carvalho, 2, 2991-683 Porto;Cadeira;465 g;14077;Alemanha;THHK6TASXXAN;19/05/2035;41398926959555
308;Têxtil Lusa;Travessa Kevin Paiva, S/N, 0303-427 Alcobaça;Cadeira;9643 g;38504;Itália;2BEQO8L8WDML;15/03/2035;48510526998235
309;Têxtil Lusa;Rua Jesus, S/N, 6151-797 Vila Nova de Santo André;Sabonete;6514 g;45568;Espanha;8J0LY1L7O7CK;12/12/2031;74704754960590
310;Padaria Central;Alameda de Neves, 53, 4279-005 Vila Nova de Gaia; Azeite;491 un;12417;França;PN00ODFIHM2X;NODATE;33971950838306
311;Empresa do José;Rua Pequeno, 246, 8850-052 Bragança;Cadeira;194.6 L;69202;Alemanha;WB0AD8WC8AC1;22/07/2025;61964354147742
312;Móveis Raiz;R. de Antunes, 64, 5236-633 Porto;Computador;8871 g;38533;Alemanha;EJU9TVOJ6NYO;NODATE;28043571486602
313;Global Tech;Alameda das Carquejeiras, 60, 0013-672 Gandra;Pão;19041 g;39265;Portugal;5CKQR20HKUSG;15/12/2029;66124450813112
314;Empresa do João;Praça Ivo Faria, 71, 9138-988 Abrantes;Sabonete;484.08 L;85805;Espanha;34Z30TN9OUVU;23/07/2031;26726366376470
315;Empresa do José;R. das Gáveas ao Parque das Nações, 59, 6563-516 Sines;Impressora;69.93 L;66703;Alemanha;BLPE0465KHFU;NODATE;97013550773818
316;Empresa do João;Largo Maia, 52, 8907-079 Câmara de Lobos;Farinha;173.38 kg;69926;Portugal;7R5WXFY75RHS;31/01/2028;54599727645989
317;Padaria Central;Largo Campos, 466, 1706-791 Vila Franca de Xira;Madeira;2976 mL;92061;França;GDN1C0HY0RIQ;25/08/2029;28285072299273
318;Empresa Alfa;Rua Lopes, 94, 4771-203 Paços de Ferreira;Madeira;1306 mL;43880;França;W5JBDI4EWX16;30/01/2026;60216440595230
319;Empresa do José;Av Constança Matias, 569, 4841-854 Porto;Camisola;661 un;31680;França;E4DJO1OXGAQY;31/01/2031;10016586487156
320;Padaria Central;Largo de Paiva, 43, 5085-534 Câmara de Lobos;Pão;780 un;16862;Brasil;940MFZQH4QPH;NODATE;17799710768888
321;Empresa do José;Largo de Freitas, S/N, 2930-151 Peniche;Farinha;353 un;22061;Portugal;BPDG324YA762;22/12/2026;98402026471853
322;Global Tech;Praça do Recanto, S/N, 4016-037 Mealhada;Cadeira;175.92 kg;90628;Alemanha;KJRIWKDEM6WH;22/05/2027;39238424702083
323;Empresa do José;Av de Ribeiro, 236, 0529-980 Odivelas;Pão;201.3 L;88114;China;MAACDWZAU78N;16/09/2032;97933944325344
324;Têxtil Lusa;R. de Carvalho, 97, 2852-103 Paços de Ferreira;Cadeira;141.89 kg;41955;Portugal;E3F6ZBXJZKAD;17/05/2029;88397154734627
325;Têxtil Lusa;Alameda Patrícia Simões, 1, 7868-987 Lourosa;Cadeira;204.71 kg;23989;Espanha;ONRWCN95Z8UQ;06/11/2034;60484071546108
326;Empresa do José;Travessa de Cunha, 53, 7075-685 Oliveira de Azeméis;Sabonete;81.24 L;38698;França;UY3QBH1OF3OY;04/09/2030;95204020255671
327;Empresa do João;Travessa de Torres, 33, 9850-875 Barreiro;Madeira;7626 g;43650;França;ZN49ESMFBN22;12/12/2032;86122568479856
328;Empresa Alfa;Praça da Quinta de Santo António, 50, 7136-371 Reguengos de Monsaraz;Sabonete;7484 g;74335;Itália;LJVDB659S9S2;30/01/2033;19973531327138
329;Química Duarte;R. Pires, 47, 2888-093 Tavira;Impressora;253.14 kg;45890;Portugal;SVDHJ01Q0LWQ;20/12/2033;11477746634568
330;Empresa do José;Travessa do Freixo, 84, 2217-007 Loulé;Cadeira;945 un;65797;China;EQZ5FFEKD141;28/09/2034;31448792635858
331;Global Tech;R. de Adelino Amaro da Costa, 305, 6431-426 Espinho;Vinho;11198 g;90778;Itália;60CM0RFS63GD;27/06/2027;68762838970149
332;Empresa do João;R. Brian Magalhães, 39, 2034-468 Olhão;Pão;44.88 kg;61937;Brasil;CWIN9G4RGVNB;23/07/2030;90980237339937
333;Global Tech;R. Érica Rocha, 66, 9707-424 Sacavém;Vinho;9083 g;54176;Portugal;QBD3TV6MIKPB;09/07/2027;15549836588364
334;Química Duarte;Largo Leite, 97, 9076-503 Portalegre; Azeite;17532 mL;95454;Itália;SUNQLNKTTKTH;24/12/2025;97965119657445
335;Empresa Alfa;Avenida Jaime Marques, 92, 5331-268 Gouveia;Pão;160.41 kg;89569;França;9IRSUFF2ZCXW;29/11/2027;04356502237106
336;Global Tech;Rua Henriques, 4, 6893-162 Mirandela;Sabonete;450.01 kg;87306;China;5YKRTWDNGBMS;27/02/2030;90151319542662
337;Padaria Central;Praça de Rodrigues, 54, 5257-144 Gafanha da Nazaré;Impressora;56.22 L;61772;Alemanha;JFDAP5Z6F587;29/08/2027;18845897870651
338;Padaria Central;Rua Rodrigo Esteves, 43, 7167-932 Paredes;Madeira;14518 mL;19653;França;I0H9QW1U0O0R;14/06/2033;01466566574497
339;Empresa do José;Avenida de São Francisco, S/N, 7492-454 Macedo de Cavaleiros;Vinho;574 un;71183;Alemanha;F6IGXHB1L955;NODATE;07414552441356
340;Química Duarte;Praça Campos, S/N, 4342-901 Entroncamento;Computador;238 un;88375;Alemanha;JGCRZJKOVTEU;08/06/2026;30211888897129
341;Têxtil Lusa;Av Ariana Nogueira, 13, 8562-054 Gandra;Sabonete;104.46 L;45311;Itália;UXE9995RELLV;22/12/2027;41133825271640
342;Global Tech;Largo Carneiro, 6, 0971-399 Bragança;Sabonete;495 un;63771;Itália;C47NGQVQEIHH;25/04/2029;51978538950741
343;Padaria Central;Praça Leite, 5, 3787-273 Seia;Pão;375 un;14155;Portugal;JOCFMEG0X0MT;11/01/2034;94127805329352
344;Global Tech;Av Mélanie Matos, S/N, 9443-615 Elvas;Cadeira;2828 g;69507;Portugal;04X3M0OS0T0O;01/12/2028;23290038773126
345;Global Tech;Travessa Fabiana Miranda, S/N, 5955-261 Alverca do Ribatejo;Farinha;12617 g;65391;França;298NS1JOKQM9;21/07/2030;99322612289017
346;Têxtil Lusa;R. do Picoto, 34, 9381-559 Entroncamento;Madeira;13720 g;87668;China;TJ5HKTE82NSY;08/05/2035;69616936237678
347;Química Duarte;Largo Cruz, 60, 1594-813 Alverca do Ribatejo;Cadeira;281.27 L;75836;Alemanha;REVQNC8DKFG4;04/07/2033;17604718870394
348;Têxtil Lusa;Alameda Maia, 785, 6729-746 Setúbal;Farinha;27.37 kg;71978;Espanha;D2KTV573SBAG;31/10/2025;73284453836279
349;Empresa Alfa;Avenida Adriana Garcia, 77, 5742-573 Guarda;Sabonete;173 un;47647;China;RKGFDZVUDUVX;NODATE;37004973733912
350;Padaria Central;Av das Japoneiras, 66, 2564-407 Oliveira do Bairro;Computador;213.62 kg;97511;China;AXQGFFE3MPZK;NODATE;11698570402181
351;Química Duarte;Avenida Oliveira, 167, 9277-381 Barreiro;Vinho;376.29 kg;53360;China;JIFUZCWCPHVS;NODATE;74034602208603
